Art Direction,Background Music,Banner,Choreography,Cinematography,Costumes,Design,Dialogue,Director,Distribution,Editing,Lyrics,Makeup,Movie,Movie Genre,Music,Original Story,Producer,Screenplay,Shooting Location,Singers,Sound Design,Status,Story,cast
,,Pakshiraja Studio,,,,,Abhayadev,Amiya Chakrabarty,,,Abhayadev,,Desabhakthan (1952),,Shankar Jaikishan,,Sreeramalu Naidu,,,"PA Periyanaayaki, Radha Jayalakshmi, T Lokanathan",,1952-04-13,,"['Madhubala (Old)', 'Poornima (Old)', 'Premnath']"
,,Kala Sagar Films,,V Rama Moorthy,,,TN Gopinathan Nair,"Vimal Kumar, PRS Pillai",,KD George,P Bhaskaran,,Thiramaala (1953),,Vimal Kumar,Choondakkaaran (Novel),S Ramanathan Pillai,TN Gopinathan Nair,,"Santha P Nair, Malathi (Old), Kozhikode Abdul Khader, Lakshmi Sankar",,1953-03-21,TN Gopinathan Nair,"['Thomas Berly', 'Kumari Thankam']"
,,Chandra Pictures,,G Vittal Rao,,,Swami Brahmavruthan,F Nagoor,,PP Varghese,"Abhayadev, Gayaka Peethambaram, Swami Brahmavruthan",,Jenova (1953),,"MS Viswanathan, Jnanamani, TA Kalyanam",,EP Eppan,Swami Brahmavruthan,,"P Leela, AM Raja, Jamuna Rani",,1953-04-17,Swami Brahmavruthan,"['MG Ramachandran', 'BS Saroja']"
,,Bhadra Productions,,ER Cooper,,,Muthukulam Raghavan Pilla,ER Cooper,,,"Abhayadev, Thirunayinaarkurichi Madhavan Nair",,Velakkaaran (1953),,V Dakshinamoorthy,,KG Sreedharan Nair,Muthukulam Raghavan Pilla,,"P Leela, Augustine Joseph, Chorus, Kaviyoor CK Revamma",,1953-12-02,Muthukulam Raghavan Pilla,"['Thikkurissi Sukumaran Nair', 'Augustine Joseph', 'Muthukulam Raghavan Pilla', 'PK Saraswathi', 'Sasikumar', 'KG Sreedharan Nair', 'Jagadamma', 'KP Kesavan', 'Nanukkuttan', 'Pankajavalli', 'SP Pillai', 'SR Pallatt', 'Sumathikkutty Amma', 'Vanakkutty', 'Alleppey Shankar']"
,,Mangala Pictures,,MR Ranganathan,,,Thikkurissi Sukumaran Nair,"Thikkurissi Sukumaran Nair, PA Raynold",,S Williams,Thikkurissi Sukumaran Nair,,Shariyo Thetto (1953),,V Dakshinamoorthy,,,Thikkurissi Sukumaran Nair,,"V Dakshinamoorthy, P Leela, Jose Prakash, Meena Sulochana, Kuttappan Bhagavathar, Vijayalakshmi",,1953-05-09,Thikkurissi Sukumaran Nair,"['Thikkurissi Sukumaran Nair', 'Miss Kumari']"
MV Kochaappu,,Kailas Pictures,,,,,Muthukulam Raghavan Pilla,R Velappan Nair,Cine Films,KD George,Abhayadev,,Lokaneethi (1953),,V Dakshinamoorthy,,Swami Narayanan,Muthukulam Raghavan Pilla,,"P Leela, AM Raja, Ghantasala, Gokulapalan, Kaviyoor CK Revamma",,1953-04-17,Muthukulam Raghavan Pilla,"['Sivarama Pillai', 'SP Pillai', 'Rajasekharan', 'Prabha Kumari', 'Pankajavalli', 'PO Pappankutty Ashan', 'Nanukkuttan', 'Mohan (Old)', 'Madhuri (old)', 'Kumari Thankam', 'Kumari Rajam', 'Kottarakkara Sreedharan Nair', 'Kani Sukumaran', 'Kalaikkal Kumaran', 'KK Subramaniam', 'K Ramabhadran Nair', 'Jagathy NK Achari', 'BS Saroja', 'Aranmula Ponnamma', 'TS Muthaiah', 'Muttathara Soman', 'TR Omana', 'Muthukulam Raghavan Pilla', 'Sathyan', 'Sreekumari']"
,,Associated Producers,,"U Rajagopal, Adi M Irani, Venkitta Rao",,,Ponkunnam Varkey,GR Rao,,MS Mani,P Bhaskaran,,Aashadeepam (1953),,V Dakshinamoorthy,,TE Vasudevan,Ponkunnam Varkey,,"P Leela, AM Raja, Ghantasala, Jikki (PG Krishnaveni), ML Vasanthakumari, Nagaiyyah",,1953-09-18,Ponkunnam Varkey,"['Sathyan', 'BS Saroja', 'Gemini Ganesan', 'Padmini']"
MV Kochaappu,,Neela Productions,,NS Mani,,,"Muthukulam Raghavan Pilla, KP Kottarakkara",ER Cooper,A Kumaraswamy Release,KD George,Thirunayinaarkurichi Madhavan Nair,,Ponkathir (1953),,Br Lakshmanan,,P Subramaniam,"Muthukulam Raghavan Pilla, KP Kottarakkara",,"Kamukara, Ganabhooshanam N Lalitha, Gokulapalan, Jikki (PG Krishnaveni), Kaviyoor CK Revamma, Mehboob",,1953-10-27,"Muthukulam Raghavan Pilla, KP Kottarakkara","['Kumari Rajam', 'Prem Nazir', 'Thikkurissi Sukumaran Nair', 'CS Radhadevi', 'Muthukulam Raghavan Pilla', 'TR Omana', 'TS Muthaiah', 'Adoor Pankajam', 'Aranmula Ponnamma', 'Bharathi Menon', 'CI Parameswaran Pillai', 'Kumari Thankam', 'SP Pillai', 'SR Pallatt', 'KV Santhi', 'Lalitha']"
,,Nagoor Cine Productions,,E Kumaradevan,,,NN Pisharady,F Nagoor,,,"Gayaka Peethambaram, NN Pisharady",,Sandehi (1954),,TR Pappa,,F Nagoor,NN Pisharady,,,,1954-07-08,F Nagoor,"['Neyyaattinkara Komalam', 'MG Chakrapani', 'SP Pillai', 'TR Omana', 'Miss Omana (NJ Mary)', 'Muthukulam Raghavan Pilla', 'B Shantha', 'Indira Bsc', 'Santhadevi']"
RBS Mani,A Ramarao,Associated Producers,,HS Venu,,,Ponkunnam Varkey,SS Rajan,Associated Pictures,MS Mani,"Abhayadev, V Anandakkuttan Nair",,Snehaseema (1954),,V Dakshinamoorthy,,TE Vasudevan,Ponkunnam Varkey,,"P Leela, AM Raja, Saroja, Baby Lalitha, M Sathyam, Amrutheswari",,1954-12-30,,"['Sathyan', 'Padmini']"
