Art Direction,Background Music,Banner,Choreography,Cinematography,Costumes,Design,Dialogue,Director,Distribution,Editing,Lyrics,Makeup,Movie,Movie Genre,Music,Original Story,Producer,Screenplay,Shooting Location,Singers,Sound Design,Status,Story,cast
Boban,,,,Binu S Nair,Indrans Jayan,,"Vijay Menon, Nikhil Menon",Vijay Menon,,,"Anil Panachooran, Arun KT, Arun GS",Anil Nemom,Vilakkumaram (2017),,Sanjeev Thomas,,Jayanath Ambazhath,"Vijay Menon, Nikhil Menon",,"Amritha Suresh, Sanjeev Thomas, Sreya Jayadeep, Gana Bala, Ammu Indira",,2017-06-16,Nikhil Menon,"['Manoj K Jayan', 'Bhavana']"
,,Goodwill Entertainments,,Vishnu Sharma,Stephy Xavier,,,Midhun Manuel Thomas,Play House Release,Lijo Paul,Manu Manjith,,Ann Mariya Kalippilaanu (2016),,Shaan Rahman,,Alice George,"Midhun Manuel Thomas, John Manthrickal",,"Vineeth Sreenivasan, Sachin Warrier",,2016-05-08,Midhun Manuel Thomas,"['Aju Varghese', 'Sunny Wayne']"
,Rajamani,,,Shaji Kumar,Sai,,"Saajid, Farhad",Major Ravi,,,"Saajid, Farhad",,Oru Avadhikkaalam (1999),,"Saajid, Farhad",,Santhosh Damodaran,Major Ravi,,,,In progress,Major Ravi,"['Dileep', 'Rajpal Yadav']"
,,,,Rahul Srivasthav,,,Mankombu Gopalakrishnan,Chandrasekhar Yeleti,,Chandrasekhar GV,Madhu Vasudevan,,Vismayam (2016),,Mahesh Shankar,,Rajani Korapati,Chandrasekhar Yeleti,,"Vidhu Prathap, Sriya Madhuri, Christian Jose , Haricharan, Nayana Nair",,2016-05-08,Chandrasekhar Yeleti,"['Mohanlal', 'Gouthami']"
Nagaraj,Sushin Shyam,,,Suresh Rajan,,Old Monks,Shanavas K Bavakutty,Shanavas K Bavakutty,LJ Films,B Ajith Kumar,"Moinkutty Vaidyar, Rafeeq Ahamed, Anwar Ali",,Kismath (2016),,"Sushin Shyam, Sumesh Parameswar, Shamej Sreedhar",,Shailaja Manikandan,Shanavas K Bavakutty,,"Madhusree Narayan, Neesa MP, Kabeer Nallalam, Ajay Sen, Sushin Shyam, Joju Sebastian, KS Harishankar, Suchith Suresan, Shamej Sreedhar, Anoop G Krishnan, Sreya Raghav, Sachin Balu",,2016-07-29,Shanavas K Bavakutty,"['Shruthi Menon', 'Shane Nigam']"
,,,,Sajith Purushan,,,,Suresh Govind,,Dilip Dennies,BK Harinarayanan,,Team 5 (2017),,Gopi Sundar,,Raj Zacharias,Suresh Govind,,"Madhu Balakrishnan, Divya S Menon, Gopi Sundar, Sooraj Santhosh",,2017-07-21,Suresh Govind,"['Pearle Maaney', 'Nikki Galrani', 'Makarand Deshpande', 'Sreesanth']"
,,,,SR Kathir,,,Jayaprakash Radhakrishnan,Jayaprakash Radhakrishnan,,,,,Lens (2016),,Sidharth Vipin,,,Jayaprakash Radhakrishnan,,,,2016-06-17,Jayaprakash Radhakrishnan,['Jayaprakash Radhakrishnan']
Aneesh Kollam,Sibu Sukumaran,,,Sujith Murali,,,,Jessen Joseph,,Ratheesh Mohan,"Riyas Payyoli, CT Kabeer",,Real Fighter (2016),Action,Riyas Payyoli,,"Biju Sabinam, Sajeev Hitech, Satheesh Aattingal",Jessen Joseph,Thiruvananthapuram,"Riyas Payyoli, Nazeer Minnale",,2016-07-29,Jessen Joseph,"['Arun', 'Aarya Rohit', 'Kannur Vasutty', 'Sajeev', 'Gayathri', 'Avinash']"
,,,,Manesh Madhavan,,,Susmesh Chandroth,Susmesh Chandroth,,B Ajith Kumar,Manoj Kuroor,,Padmini (2018),,Sreevalsan J Menon,,,Susmesh Chandroth,,Aswathi Sanju,,2018-10-21,Susmesh Chandroth,['Anumol']
,,,,,,,,Nazaruddeen Shah,,,"Jassim V Kassim, Amitha, Nazaruddeen Shah",,Olessia (2013),,Nazaruddeen Shah,,Nazaruddeen Shah,,,"KS Chithra, G Venugopal, Jyotsna, Shyamily, Neha Rani, Jassim V Kassim, Manaf, Sony Sai, Nazaruddeen Shah",,2019-09-08,Nazaruddeen Shah,"['Anson Paul', 'Bindu Aneesh']"
Nimesh Thanoor,,Anoop Kannan Stories,,Prakash Velayudhan,,Old Monks,Tom Emmatty,Tom Emmatty,Anoop Kannan Stories,Shameer Muhammad,"Anil Panachooran, Rafeeq Ahamed, Renjith Chittade, Manikandan Ayyappa",,Oru Mexican Apaaratha (2017),,"Renjith Chittade, Manikandan Ayyappa",,Anoop Kannan,Tom Emmatty,,"Chorus, Franco, Vijay Yesudas, Arunraj Kamaraj, Manikandan Ayyappa, Shebin Mathew, Sulfiq L",,2017-03-03,Tom Emmatty,"['Gayathri Suresh', 'Neeraj Madhav', 'Roopesh Peethambaran', 'Tovino Thomas']"
,,,,S Tirru (Thirunavukkarashu),,,Koratala Siva,Koratala Siva,,Kotagiri Vengateswara Rao,"Ramajogayya Sasthri, Madhu Vasudevan",,Janatha Garage (2016),,Devi Sri Prasad,,"Naveen Yerneni, Y Ravi Shankar, CV Mohan",Koratala Siva,,"Sagar, Geetha Madhuri, Jithin Raj",,2016-01-09,Koratala Siva,"['Samantha', 'Junior NTR']"
Premkumar Kottakal,,,,Aneesh Upasana,,Binoy Kottakkal,Shani Khadhar,Aneesh Upasana,,Vishnu Venugopal,"Aneesh Upasana, Sreeprasad, Leela Girish Kuttan, Vinu Krishnan, Manu Manjith",,Popcorn (2016),,"Anub, Arun Of Twinz, Leela Girish Kuttan",,,Shani Khadhar,,"Afsal, Lekha R Nair, Nikhil Mathew, Leela Girish Kuttan, Athira Neelagiri",,2016-08-27,Shani Khadhar,"['Shine Tom Chacko', 'Soubin Shahir', 'Srinda Ashab', 'Anjali Aneesh Upasana', 'Samyuktha Menon']"
,,,,Renjith Murali,,,,BN Shajeer Sha,,Abhiram & Suneesh,Shahida,,LBW (2016),,Shabroz,,Unnikrishnan Nair S,BN Shajeer Sha,,"Shabeer, Akshay Nath, Shahida, Akhil",,2016-08-26,,"['SP Sreekumar', 'Musthafa']"
,,,,Georgy Joseph,,,Sebastine Maliyekkal,Sebastine Maliyekkal,,Jovin John,Sebastine Maliyekkal,,Shyam (2016),,Ouseppachan,,Sebastine Maliyekkal,Sebastine Maliyekkal,,Sebastine Maliyekkal,,2016-08-26,Sebastine Maliyekkal,['Bhagath Manuel']
KG Harshan,,4 Star Movies,,JP Nambiyalath,,Sajeesh M Designs,"ManuSankar, PV Anilkumar",ManuSankar,,Hari G Nair,"Vayalar Sarathchandra Varma, PV Anilkumar , Philip Jayakumar",,Appooppan Thaadi (2016),,"Babuji, Philip Jayakumar",,"Balakrishnan Nadukandy, Vijayan Kattil","ManuSankar, PV Anilkumar",,"Sudeep Kumar, Vaikkom Vijayalakshmi, Philip Jayakumar, Chenganoor Sreekumar",,2016-08-26,ManuSankar,['Meghanadhan']
Kishore,,,,,,,,Jeyen Raj,,Shijas P Yoonas,K Jayakumar,,Mud Maza (2016),,Mohan Sithara,,Arya Films,Jeyen Raj,,"Najim Arshad, Joyce",,2016-08-26,,[]
Rajesh Sopanam,,Raahumithra Films,,Binu Kurian,,Lime Time Media,Sohan Seenulal,Sohan Seenulal,,V Saajan,"Sugathakumari, BK Harinarayanan",,Vanyam (2016),,Sejo John,,PS Nagaraj,Sohan Seenulal,,"Sejo John, Sugathakumari",,2016-03-09,Sohan Seenulal,['Aparna Nair']
Aneesh Kollam,,,,Pradeesh Nenmara,,,,Sajin Lal,,,Rajeev Alunkal,,Zebra Varakal (2016),,Perumbavoor G Ravindranath,,F Shamnad,J Xavier,,,,In progress,,"['Sheelu Abraham', 'Meghna Raj', 'Ansiba Hassan']"
,,,,,,,,Sudha Kongara,,,,,Final Round (2016),,,,AP International,,,,,In progress,,"['R Madhavan', 'Ruthika Singh']"
,,SreeGokulam Movies,,Sunil KS,Sameera Saneesh,Thought Station,Murali Gopy,Rathish Ambat,Grand Productions,Suresh URS,"Anil Panachooran, Rafeeq Ahamed, BK Harinarayanan",Roshan NG,Kammaara Sambhavam (2016),,Gopi Sundar,,Gokulam Gopalan,Murali Gopy,,"Divya S Menon, Karthik, Murali Gopy, Haricharan",,2018-04-14,Murali Gopy,"['Dileep', 'Namitha Pramod']"
,,,,R Rathnavelu,,,,Roshni Dinakar,,,BK Harinarayanan,,My Story (2018),Romance,Shaan Rahman,,Roshni Dinakar,Shankar Ramakrishnan,"Portugal, Spain","Manjari, Shaan Rahman, Shreya Ghoshal, Benny Dayal, Harib Hussain, Haricharan, Shakthisree Gopalan, Megha Josekutty",,2018-06-07,,"['Prithviraj', 'Parvathi Thiruvoth']"
M Bava,,Vibeson Movies,,Krish Kaimal,,Rahim PMK,Krish Kaimal,Krish Kaimal,,V Saajan,Dinanath Puthenchery,,Olappeeppi (2016),,Anil Johnson,,,Krish Kaimal,,"Shreya S Ajith, Fathimathul Liyana, Jayakrishnan R, Chinmayi S Nath",,2016-09-30,Krish Kaimal,"['Biju Menon', 'Paris Laxmi']"
,,,,,,,,Oscar Saijo Kannanaikel,,,Nazil P,,Kadhakali (2016),,Nazil P,,,,,Nazil P,,In progress,,[]
,,,,,,,,,,,Kailas Rishi,,Lahala (2016),,S Thaman,,,,,,,In progress,,"['Anushka Shetty', 'Nagarjuna']"
,,,,Ayyappan,,,Vinod Lal,Santhosh Gopal,,MV Sajan,Bichu Thirumala,,Mallanum Mathevanum (2016),,Suman Bichu,,Ullas Kilikkollur,Vinod Lal,,"KS Chithra, Wilswaraj, Sooraj Santhosh",,In progress,Vinod Lal,[]
"Subhash Meenankal, Subeesh Kundara",Shiju Karamana,Trivandrum Brothers,,Jithin M Jithin,,Mozhi,Anoop Daiwa,Anoop Daiwa,,"Vineeth Vijayan, Rahul Rajan","Poovachal Khader, Anoop Daiwa, Vishnu Chirayinkeezhu, Arun Ivan",,Mohanjadaro Aarappa (2016),,"Murugadasan Haripad, Sooryanarayanan G Anayadi",,Rajesh Singapore,Anoop Daiwa,,"Sudeep Kumar, Biju Mangad, Murugadasan Haripad, William Issac, Kumaradas Chennai, KV Harshan, Sajeev",,2016-03-09,Anoop Daiwa,[]
,,,,Anend C Chandran,,,Ganesh Raj,Ganesh Raj,,Abhinav Sunder Nayak,"Vineeth Sreenivasan, Sachin Warrier, Anu Elizabeth Jose, Manu Manjith",,Aanandam (2016),,Sachin Warrier,,Vineeth Sreenivasan,Ganesh Raj,,"Vineeth Sreenivasan, Sachin Warrier, Raghu Dixit, Suchith Suresan, Apoorva Bose, Aswin Gopakumar, Vaisakh Nair, Sneha Warrier",,2016-10-21,Ganesh Raj,"['Rajesh Sharma', 'Vishak Nair', 'Anu Antony', 'Thomas Mathew ', 'Arun Kurian', 'Siddhi Mahajankatti', 'Roshan Mathew', 'Anarkali Marikar']"
,,,,,,,,,,,"Rafeeq Ahamed, K Sreekumar",,Neeyillaathe (2016),,Sathish Aryan,,"S Sridhara, HC Prabhakara",,,"Vijay Yesudas, Ajay Warrier, Radhika Narayanan, Varsha Joshy",,In progress,,[]
,,,,,,,,Ajith Nambyar,,,"Muraleedharan Pattanur, Anil Punnad",,Oru Malayalam Color Padam (2016),,Mithun Eshwar,,Sanju S Sahib,,,"Mithun Eshwar, Uday Ramachandran, Nithya Balagopal",,2017-03-17,Ajith Nambyar,[]
,,,,,,,,MR Anoopraj,,,,,Smart Boys (2016),,Shaheen Abbas,,,,,,,2016-04-03,MR Anoopraj,"['Jagadish', 'Kochu Preman', 'Nobi', 'Saju Navodaya', 'Juby Ninan']"
M Bava,Gopi Sundar,,,Venugopal,,Jissen Paul,Julaina Ashraf,VM Vinu,,KR Midhun,Rafeeq Ahamed,,Marupadi (2016),,M Jayachandran,,Asharaf Bedi,Julaina Ashraf,,"M Jayachandran, Shweta Mohan, Varsha Vinu",,2016-09-12,Julaina Ashraf,"['Bhama', 'Rahman', 'Tessa Joseph']"
,,,,,,,,Raju Narayanathra,,,"Raju Narayanathra, TN Biju",,Kurangukalikkaar (Monkey Players) (2016),,"Raju Narayanathra, TN Biju",,Rajarajan,Raju Narayanathra,,"Madhavan Nambhoothiri, TN Biju, Ramachandran",,In progress,,[]
,,,,,,,,,,,Kailas Rishi,,Panjaakshari (2016),,Chinna,,,,,,,In progress,,['Anushka Shetty']
,,,,Sasi Ramakrishna,,,Prasanth Azhimala,Jayan K Saj,,K Sreenivas,Unnikrishnan Parakkodu,,Ottakkolam (2016),,Harikrishnan Pandalam,,,Prasanth Azhimala,,"P Jayachandran, Madhu Balakrishnan, Theertha Unni",,2016-09-23,Jayan K Saj,"['Santhosh Keezhattoor', 'Hima Sanker']"
Jyothish Shankar,,,,Rajeev Ravi,Sameera Saneesh,Old Monks,Sajeev Pazhoor,Dileesh Pothen,,Kiran Das,Rafeeq Ahamed,Ronex Xavier,Thondimuthalum Driksaakshiyum (2017),,Bijibal,,"Sandeep Senan, Aneesh M Thomas",Sajeev Pazhoor,,"Bijibal, Ganesh Sundaram, Sithara Krishnakumar, Soumya Ramakrishnan, Govind Menon",,2017-06-30,Shyam Pushkaran,"['Suraj Venjaramoodu', 'Fahad Fazil', 'Nimisha Sajayan']"
,,,,,,,,Thrishul,,,,,Silk (2016),,Jassie Gift,,Venkidappa,,,"Keerthana, Shaffi Kollam, Zia Ul Haq",,In progress,,[]
,,,,,,,,,,,Gee,,Pradhaana Vaarthakal (2016),,Yash Krishnan,,,,,"Sri Vallabhan, Sunita, Vanisree",,In progress,,['Charmi']
,,,,,,,,,,,,,Thudikkunna Deham (2016),,Stevin,,,,,"Nancy, Stevin",,In progress,,[]
Salu K George,,,,Bharani K Dharan,SB Satheeshan,Collins Leophil,AK Sajan,Diphan,,Samjith Narayanan MHD,"Gilu Joseph, BK Harinarayanan",Rathish Ambadi,Sathya - Man on the Road (2017),,Gopi Sundar,,Feros Saheed,AK Sajan,,"Gopi Sundar, Najim Arshad, Sithara Krishnakumar, Abhaya Hiranmayi, Vaikkom Vijayalakshmi",,2017-04-20,AK Sajan,"['Jayaram', 'Nikitha Thukral']"
Prasanth Madhav,,Full Moon Cinema,,S Kumar,Sameera Saneesh,Jissen Paul,Dr. Iqbal Kuttippuram,Sathyan Anthikkad,Kalasangham Release,K Rajagopal,Rafeeq Ahamed,"Pandyan, Biju Bhaskar Swami",Jomonte Suviseshangal (2016),,Vidyasagar,,Sethu Mannarkkadu,Dr. Iqbal Kuttippuram,"Thrissur, Tirupur, Thanchavur, Pollachi","Sujatha Mohan, Balram Iyer, Najim Arshad, Merin Gregory, Abhay Jodhpurkar",,2017-01-19,Dr. Iqbal Kuttippuram,"['Dulquer Salmaan', 'Aiswarya Rajesh']"
,Sushin Shyam,August Cinema,,Roby Raj,Stephy Xavier,,Haneef Adeni,Haneef Adeni,August Cinema Release,Noufal Abdulla,BK Harinarayanan,,The Great Father (2017),,Gopi Sundar,,"Prithviraj, Santhosh Sivan, Shaji Natesan, Arya",Haneef Adeni,,"Vijay Yesudas, Prarthana Indrajith, Nakshathra Indrajith",,2017-03-30,Haneef Adeni,"['Mammootty', 'Sneha']"
Manoj,,,,Sreekanth Easwar,,Zero Clock,,Anuranjan Premji,,Hemanth K Harshan,"BK Harinarayanan, Manu Manjith",Rajesh Nenmara,Chicken Kokkachi (2017),,Jassie Gift,,,Anuranjan Premji,,"Jassie Gift, Pushpavathy, Ramesh Babu, Shweta Mohan, Anu Praveen, Hishaam",,2017-09-06,,"['Bijukkuttan', 'Dharmajan Bolgatty']"
Sreekumar,,,,Prathap P Nair,Suresh Fitwell,,Manu,Manu,,Manoj Kannoth,,,Munroe Thuruthu (2016),,"Dawn Vincent, Subramanian K Vaidyalingan, Ashok T Ponnappan",,Manu,Manu,,,,2016-11-11,Manu,"['Indrans', 'Abhija Sivakala']"
,,,,Keertan Poojary,,,,Senna Hegde,,Syam Krishnan,,,0-41* (2016),,"Senna Hegde, Unni Abhijith, Glady Abraham, Subha Naidu",,"Preetham Hegde, Chettan Shetty, Prasanna Hegde",Senna Hegde,,,,2016-08-15,,[]
Thyagu Thavanoor,,E4 Entertainments,,Vishnu Sharma,Sameera Saneesh,Yellowtooth,Rakesh Mantodi,Basil Joseph,,Abhinav Sunder Nayak,"Vinayak Sasikumar, Basil Joseph , Manu Manjith",Hasan Vandoor,Godha (2017),,Shaan Rahman,,"AV Anoop, R Mukesh Mehta",Rakesh Mantodi,,"Vineeth Sreenivasan, Sachin Warrier, Shaan Rahman, Sithara Krishnakumar, Niranj Suresh, Gowri Lakshmi, Radhika Sethumadhavan",,2017-05-19,Rakesh Mantodi,"['Tovino Thomas', 'Wamiqa Gabbi']"
Joseph Nellickal,,United Globel Media Entertainments,,Shyam Dutt,Sakhi Thomas,Jissen Paul,"Bibin George, Vishnu Unnikrishnan",Nadirsha,,Johnkutty,"Nadirsha, Santhosh Varma, BK Harinarayanan",,Kattappanayile Hrithik Roshan (2016),,Nadirsha,,"Dileep, Dr. Zachariya Thomas","Bibin George, Vishnu Unnikrishnan",,"Najim Arshad, Rimi Tomy, Shankar Mahadevan, Vijay Prakash, Vaikkom Vijayalakshmi",,2016-11-18,"Bibin George, Vishnu Unnikrishnan","['Prayaga Martin', 'Vishnu Unnikrishnan']"
,,,,P Sukumar (Kiran),,,Kalavoor Ravikumar,Kalavoor Ravikumar,,Dilip Dennies,Prabha Varma,,Kuttikalundu Sookshikkuka (2016),,Bijibal,,Mohan Goplakrishnan,Kalavoor Ravikumar,,,,2016-02-12,,"['Bhavana', 'Anoop Menon']"
Ajay Mangad,Bijibal,Weekend Blockbusters,,Pramod K Pillai,,Old Monks,M Sindhuraj,Jibu Jacob,,Sooraj ES,"Rafeeq Ahamed, Madhu Vasudevan, DB Ajithkumar",,Munthirivallikal Thalirkkumpol (2016),,"M Jayachandran, Bijibal",Pranayopanishath by VJ James,Sofiya Paul,M Sindhuraj,,"Bijibal, Shreya Ghoshal, Shweta Mohan, Vijay Yesudas, Jithin Raj",,2017-01-20,M Sindhuraj,"['Mohanlal', 'Meena (New)']"
Joseph Nellickal,Gopi Sundar,,,Vijay Ulakanath,,Collins Leophil,Siddique,Siddique,,KR Gowri Shankar,"Rafeeq Ahamed, BK Harinarayanan",Roshan NG,Fukhri (2017),,"Gopi Sundar, Viswajith, Dr M Sudheep Elayidom",,,Siddique,,"Afsal, Aparna Rajeev, Najim Arshad, Sachin Warrier, Viswajith, Joselee Lonelydoggy",,2017-03-02,Siddique,"['Jayasurya', 'Prayaga Martin']"
Boban,,,,Kishor Mani,,Yellowtooth,Sangeeth Jain,Don Max,,Don Max,"Roy Puramadom, Divya Sooraj , MC Rude",,10 Kalpanakal (2016),,Mithun Eshwar,,,"Don Max, Sangeeth Jain, Shins K Jose",,"KJ Yesudas, S Janaki, Meera Jasmine, Shreya Ghoshal, Vijay Yesudas, Mithun Eshwar, Uday Ramachandran, Nithya Balagopal, MC Rude",,2016-11-25,Don Max,"['Meera Jasmine', 'Anoop Menon', 'Kaniha']"
,,,,,,,,Raju Champakkara,,,"Subhash Cherthala, Vijay Madhav",,Chinna Daada (2016),,"Vijay Madhav, Sumesh Koottikkal",,,,,"KJ Yesudas, Sharon Joseph, Vijay Madhav",,2016-08-26,,"['Kalabhavan Shajohn', 'Karamana Sudheer', 'Neena Kurup', 'Riyaz Khan', 'Ullas Pandalam', 'Krishna Padmakumar']"
,,,,,,,,MD Rajendran,,,MD Rajendran,,Sree Sree Devaraagam (2016),,MD Rajendran,,,,,KJ Yesudas,,In progress,,['Kaviyoor Ponnamma']
,,,,,,,,,,,Gireesh Kalathu,,Snehichirunnenkil (),,Unniraj Muriyad,,,,,"KJ Yesudas, P Jayachandran, Daleema, G Shibu, Gayathri Asokan, Sreeranjini Kodampally",,In progress,,[]
,Ramu Raj,Crayons Pictures,,Santhosh Anima,,,Abhijith Ashokan,Arun Viswam,,Sunesh Sebastian,"BK Harinarayanan, Lakshmy Ennappaadam",,Kolumittaayi (2016),,Sreeraj Sahajan,,Abhijith Ashokan,"Arun Viswam, Abhijith Ashokan",,"Sreya Jayadeep, Sreeraj Sahajan, Vaishakh C Madhav, Vaishakh PK , Rhithwik S Chand",,2016-04-11,Abhijith Ashokan,"['Master Gourav', 'Baby Meenakshi (Anunaya)']"
Basanth Peringodu,Jeff Rona,Chandrakala Arts,,S Kumar,,Seek Red,MR Raghava Warrior,Jayaraj,,Appu Bhattathiri,Kavalam Narayana Panicker,,Veeram (2017),,MK Arjunan,,"Chandramohan D Pillai, Pradeep Rajan",Jayaraj,,"Vidyadharan Master, Vaikkom Vijayalakshmi",,2017-02-24,,"['Kunal Kapoor', 'Himarsha Venkatsamy']"
,,Chand V Creations,,Vinod Illampally,,,Biju K Arookkutty,Biju K Arookkutty,,Lijo Paul,BK Harinarayanan,,Georgettan's Pooram (2017),,Gopi Sundar,,,Biju K Arookkutty,,"Chorus, Gopi Sundar, Rajalakshmi Abhiram, Ramsi Ahamad, Vijay Yesudas, Ranjith",,2017-01-04,Biju K Arookkutty,"['Dileep', 'Rajisha Vijayan']"
Vinesh Banglan,,,,Swaroop Philip,,Old Monks,,Ratheish Kumar,,Shameer Muhammad,"Traditional, PS Rafeeq, BK Harinarayanan",,Thrissivaperoor Kliptham (2017),,Bijibal,,"Fareed Khan, Shaleel Azeez",,Thrissur,"Bijibal, Pushpavathy, Sannidhanandan, Sayanora Philip, Vipin Lal, Vivek Moozhikkulam",,2017-11-08,PS Rafeeq,"['Asif Ali', 'Aparna Balamurali']"
,,Velamkannimatha Productions,,MJ Radhakrishnan,,,Girish PC Palam,Girish PC Palam,,,"Anil Panachooran, Ramesh Kavil, BK Harinarayanan, Sher Han",,Pallikkoodam (2016),,"Vidyadharan Master, Thej Mervin",,Manok Varkey,Girish PC Palam,,"P Jayachandran, Chorus, KK Nishad, Sreya Jayadeep",,2016-04-11,Girish PC Palam,"['Master Alan (New)', 'Vineeth']"
,,,,Praveen Chakrapani,,,Sahir Ali,Sahir Ali,,Sai Suresh,"Vayalar, Kannan Pareekkutty, Nelson, Meppally Balan, Mirza Ghalib, KH Sulaiman Master",,Kaappiri Thuruthu (2016),,Rafeeque Yusuf,,Ahammad Palapparambil,Sahir Ali,,"Afsal, Chorus, Madhusree Narayan, Ramesh Narayan, Vijay Yesudas, OV Basheer, Kishore Abu, Thuruthy Ibrahim",,2016-09-12,Sahir Ali,"['Pearle Maaney', 'Adil Ibrahim']"
,,,,,,,,Nadeem Noushad,,,,,Ameya Oru Bavul Penkutti (2015),Children's Film,,,Sibu George,,,Sreya Jayadeep,,In progress,,[]
,,E4 Entertainments,,Sujith Vaassudev,Stephy Xavier,Anand,Jay K,Jay K,AVA Productions,Vivek Harshan,"Vinayak Sasikumar, BK Harinarayanan, Anwar Ali",,Ezra (2017),,"Rahul Raj, Sushin Shyam",,R Mukesh Mehta,,,"Haricharan, Vipin Raveendran, Sachin Balu",,2017-10-02,Jay K,"['Prithviraj', 'Priya Aanand']"
,Gopi Sundar,,,Gnanam Subramanian,,Old Monks,Abrid Shine,Abrid Shine,,KR Midhun,"Balachandran Chullikkad, BK Harinarayanan, Vinod Kannan, Ajeesh Dasan, Araykkal Nandakumar, Lalgudi G Jayaraman, Aashaan Babu, Dayal Singh, Nasil P",,Poomaram (2017),,"Gopi Sundar, Perumbavoor G Ravindranath, Leela Girish Kuttan, Faizal Razi, Araykkal Nandakumar, Lalgudi G Jayaraman, Sayoojya Das, Vishnu Siva, Nasil P",,"Abrid Shine, Dr. Paul Varghese",Abrid Shine,,"KS Chithra, Chorus, Karthik, Kavalam Sreekumar, Sankaran Namboothiri, Shikha, Shreya Ghoshal, Faizal Razi, Araykkal Nandakumar, Ismath PL, Sarvasri, Sayoojya Das, Nasil P",,2018-03-15,Abrid Shine,"['Kalidas', 'Neeta Pillai', 'Architha Aneesh']"
,,,,Pradeep Nair,,Jissen Paul,Sethu,Kannan Thamarakulam,Rajaputhra Release,Rajith KR,"Kaithapram, Anil Panachooran, Ratheesh Vegha, Unni Mukundan, BK Harinarayanan",,Achayans (2017),,Ratheesh Vegha,,CK Padmakumar,Sethu,,"Anwar Sadath, Najim Arshad, Rimi Tomy, Vidhu Prathap, Renjith Unni, Ramya Nambeesan, Unni Mukundan, Prakash Raj",,2017-05-19,Sethu,"['Jayaram', 'Amala Paul']"
M Bava,,Richies Cinema,,Manoj Pillai,Velayudhan Keezhillam,Jissen Paul,Dr Binu Purushothaman,PK Baburaj,,Praveen Prabhakar,"Rafeeq Ahamed, PK Baburaj, Anu Elizabeth Jose, BK Harinarayanan",,Gemini (2017),,Shaan Rahman,,Rupesh Lal,Dr Binu Purushothaman,,"Najim Arshad, Shaan Rahman, Anakha Sadan, Aalaap Raju, Roopa Revathi, Rijisha, Dr Jithinlal Vijay",,2017-04-21,Dr Binu Purushothaman,['Esther Anil']
,Bijibal,,,Pavi K Pavan,,,"Antony Jibin, Domin D Silva",Domin D Silva,,Sandeep Nandakumar,"Santhosh Varma, BK Harinarayanan",Pradeep Rangan,Pipin Chuvattile Pranayam (2017),,Bijibal,,Vijayakumar Palakunnu,"Antony Jibin, Domin D Silva",,"Arun Alat, Bijibal, Soumya Ramakrishnan, Uday Ramachandran, Job Kurian, Anne Amie Vazhappilly",,2017-11-24,Domin D Silva,"['Neeraj Madhav', 'Reeba Monica John']"
Marthandam Rajasekharan,,,,Pappu,,,Sajin Babu,Sajin Babu,,Ajay Kuyiloor,"V Vinayakumar, Karinthalakoottam",,Ayaal Sasi (2017),,"Basil CJ, Karinthalakoottam",,"P Sukumar (Kiran), Sudhish Pillai",Sajin Babu,,"Vineeth Sreenivasan, Sreenivasan",,2017-07-07,Sajin Babu,"['Sreenivasan', 'Divya Gopinath']"
,,,,,,,,Ali Akbar,,,Beeba K Nath,,Pottan (2016),,Reji Master,,,,,Karthika,,In progress,,"['Hima Sanker', 'Shyju Krishnan']"
,Shake Ilahi,,,Navaneeth,,,,Dhileep Narayanan,,Sandeep Nandakumar,Aji Eravichira,Jayamohan,Paulettante Veedu (2016),,"Jinosh Antony, Vishnu Mohan Sithara",,Sukumaran V Madhavan,,,"Franco, Shikha, Vishnu Mohan Sithara, Shaali",,2016-09-12,,"['KPAC Lalitha', 'Karamana Sudheer', 'Kulappulli Leela', 'Lishoy', 'Munshi Venu', 'Saikumar', 'Salu Koottanad', 'Santhakumari', 'Seema G Nair', 'Niyaz Backer', 'Baby Meenakshi (Anunaya)']"
,,,,Premanand,,,,Jeevan,,,Rafeeq Ahamed,,Campus Diary (2016),,Bijibal,,"CK Sarasappan, Ajay Aalakkandi",,,"P Jayachandran, Shweta Mohan, Vijay Yesudas",,2016-02-12,Vinish Palayad,"['Gouthami Nair', 'Sudev Nair']"
Nadhan Mannur,Ronnie Raphael,,"Kumar, Shanthi",Samlal P Thomas,Kumar Edappal,Collins Leophil,Vyasan Sajeev,Prasad Yadav,,Sanal Anirudhan,"Rajeev Alunkal, Mochitha",Saji Kattakkada,Vedam (2017),,"MG Sreekumar, Ronnie Raphael",,Samson Viswanath,Vyasan Sajeev,,"MG Sreekumar, Franco",,2017-12-05,,['Saniya Iyyappan']
Shiji Pattanam,Anil Johnson,Little Big Films,,Sudheer Surendran,,Sunil Raj,Santhosh Echikkanam,Srikant Murali,,Sooraj ES,"Rafeeq Ahamed, Santhosh Varma",,Aby (2017),,"Bijibal, Jaison J Nair",,Suvin K Varkey,Santhosh Echikkanam,,"Vineeth Sreenivasan, Arun Alat, Sangeetha Prabhu (Sangeetha Sreekant), Niranj Suresh, Soumya Ramakrishnan, Saritha Ram",,2017-02-23,Santhosh Echikkanam,"['Vineeth Sreenivasan', 'Mareena Michael Kurisingal']"
