,status,director,producer,banner,story,screenplay,cinematography,movie,year,main_Cast,support_cast,editing,dialogue,lyrics,music,singers,movie genre,original story,art direction,distribution,makeup,background music,costumes,sound design,choreography,shooting location,design
1,1952-06-12,K Vembu,TE Vasudevan (V Devan),Associated Producers,Nagavally RS Kurup,,V Rajagopal,amma,1952,[],"['BS Saroja', 'Thikkurissi Sukumaran Nair', 'TS Doraraj', 'MN Nambiar', 'TS Muthaiah', 'PM Devan', 'Gopalan Nair', 'Sarma', 'Aranmula Ponnamma', 'Lalitha']",R Rajagopal,Nagavally RS Kurup,P Bhaskaran,V Dakshinamoorthy,"V Dakshinamoorthy, P Leela, Ghantasala, Gokulapalan, Janamma David, Kaviyoor CK Revamma, Balakrishna Menon",,,C Ramaraju,,,,,,,,
1,1952-04-13,Amiya Chakrabarty,Sreeramalu Naidu,Pakshiraja Studio,,,,desabhakthan,1952,[],"['Poornima (Old)', 'Madhubala (Old)', 'Premnath']",,Abhayadev,Abhayadev,Shankar Jaikishan,"PA Periyanaayaki, Radha Jayalakshmi, T Lokanathan",,,,,,,,,,,
1,1953-03-21,"Vimal Kumar, PRS Pillai",S Ramanathan Pillai,Kala Sagar Films,TN Gopinathan Nair,TN Gopinathan Nair,V Rama Moorthy,thiramaala,1953,"['Thomas Berly', 'Kumari Thankam']","['Sathyan', 'Adoor Bhasi', 'Chandni (NR Thankam)', 'TS Muthaiah', 'Valsala Menon', 'Sasikumar']",KD George,TN Gopinathan Nair,P Bhaskaran,Vimal Kumar,"Santha P Nair, Malathi (Old), Kozhikode Abdul Khader, Lakshmi Sankar",,Choondakkaaran (Novel),,,,,,,,,
1,1953-04-17,F Nagoor,EP Eppan,Chandra Pictures,Swami Brahmavruthan,Swami Brahmavruthan,G Vittal Rao,jenova,1953,"['MG Ramachandran', 'BS Saroja']","['Alleppey Vincent', 'SP Pillai', 'TS Doraraj', 'MG Chakrapani', 'Muthukulam Raghavan Pilla']",PP Varghese,Swami Brahmavruthan,"Abhayadev, Gayaka Peethambaram, Swami Brahmavruthan","MS Viswanathan, Jnanamani, TA Kalyanam","P Leela, AM Raja, Jamuna Rani",,,,,,,,,,,
1,1953-12-02,ER Cooper,KG Sreedharan Nair,Bhadra Productions,Muthukulam Raghavan Pilla,Muthukulam Raghavan Pilla,ER Cooper,velakkaaran,1953,[],"['SP Pillai', 'Augustine Joseph', 'Pankajavalli', 'PK Saraswathi', 'Thikkurissi Sukumaran Nair', 'Nanukkuttan', 'Sumathikkutty Amma', 'SR Pallatt', 'Alleppey Shankar', 'Jagadamma', 'KP Kesavan', 'Vanakkutty', 'Sasikumar']",,Muthukulam Raghavan Pilla,"Abhayadev, Thirunayinaarkurichi Madhavan Nair",V Dakshinamoorthy,"P Leela, Augustine Joseph, Chorus, Kaviyoor CK Revamma",,,,,,,,,,,
1,1953-05-09,"Thikkurissi Sukumaran Nair, PA Raynold",,Mangala Pictures,Thikkurissi Sukumaran Nair,Thikkurissi Sukumaran Nair,MR Ranganathan,shariyo thetto,1953,"['Thikkurissi Sukumaran Nair', 'Miss Kumari']","['SP Pillai', 'Sethulakshmi (Old)', 'Sebastian Kunjukunju Bhagavathar', 'Adoor Bhavani', 'Meena Sulochana', 'TR Omana', 'Jose Prakash', 'Adoor Pankajam']",S Williams,Thikkurissi Sukumaran Nair,Thikkurissi Sukumaran Nair,V Dakshinamoorthy,"V Dakshinamoorthy, P Leela, Jose Prakash, Meena Sulochana, Kuttappan Bhagavathar, Vijayalakshmi",,,,,,,,,,,
1,1953-04-17,R Velappan Nair,Swami Narayanan,Kailas Pictures,Muthukulam Raghavan Pilla,Muthukulam Raghavan Pilla,,lokaneethi,1953,[],"['Sathyan', 'Jagathy NK Achari', 'K Ramabhadran Nair', 'Madhuri (old)', 'Muttathara Soman', 'Nanukkuttan', 'Kalaikkal Kumaran', 'Prabha Kumari', 'Mohan (Old)', 'Kottarakkara Sreedharan Nair', 'Kumari Rajam', 'TS Muthaiah', 'Kumari Thankam', 'TR Omana', 'Rajasekharan', 'SP Pillai', 'Sivarama Pillai', 'Sreekumari', 'Pankajavalli', 'BS Saroja', 'Kani Sukumaran', 'Aranmula Ponnamma', 'KK Subramaniam', 'PO Pappankutty Ashan']",KD George,Muthukulam Raghavan Pilla,Abhayadev,V Dakshinamoorthy,"P Leela, AM Raja, Ghantasala, Gokulapalan, Kaviyoor CK Revamma",,,MV Kochaappu,Cine Films,,,,,,,
1,1953-09-18,GR Rao,TE Vasudevan (V Devan),Associated Producers,Ponkunnam Varkey,Ponkunnam Varkey,"U Rajagopal, Adi M Irani, Venkitta Rao",aashadeepam,1953,"['Sathyan', 'BS Saroja', 'Gemini Ganesan', 'Padmini']","['TS Balayya', 'Girija ', 'TN Gopinathan Nair', 'Pankajavalli', 'Nanukkuttan', 'Aranmula Ponnamma', 'Sasikumar']",MS Mani,Ponkunnam Varkey,P Bhaskaran,V Dakshinamoorthy,"P Leela, AM Raja, Ghantasala, Jikki (PG Krishnaveni), ML Vasanthakumari, Nagaiyyah",,,,,,,,,,,
1,1953-10-27,ER Cooper,P Subramaniam,Neela Productions,"Muthukulam Raghavan Pilla, KP Kottarakkara","Muthukulam Raghavan Pilla, KP Kottarakkara",NS Mani,ponkathir,1953,[],"['SP Pillai', 'CS Radhadevi', 'Ragini', 'Bharathi Menon', 'Thikkurissi Sukumaran Nair', 'CI Parameswaran Pillai', 'SR Pallatt', 'Kumari Rajam', 'TS Muthaiah', 'Kumari Thankam', 'Aranmula Ponnamma', 'Prem Nazir', 'Muthukulam Raghavan Pilla', 'KV Santhi', 'Adoor Pankajam', 'TR Omana', 'Lalitha']",KD George,"Muthukulam Raghavan Pilla, KP Kottarakkara",Thirunayinaarkurichi Madhavan Nair,Br Lakshmanan,"Kamukara, Ganabhooshanam N Lalitha, Gokulapalan, Jikki (PG Krishnaveni), Kaviyoor CK Revamma, Mehboob",,,MV Kochaappu,A Kumaraswamy Release,,,,,,,
1,1954-07-08,F Nagoor,F Nagoor,Nagoor Cine Productions,F Nagoor,NN Pisharady,E Kumaradevan,sandehi,1954,[],"['SP Pillai', 'Miss Omana (NJ Mary)', 'MG Chakrapani', 'Neyyaattinkara Komalam', 'Santhadevi', 'TR Omana', 'B Shantha', 'Muthukulam Raghavan Pilla', 'Indira Bsc']",,NN Pisharady,"Gayaka Peethambaram, NN Pisharady",TR Pappa,,,,,,,,,,,,
